Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,4360.00,4590.00,4360.00,4590.00,3877.36,56985400
2025-01-03,4600.00,4630.00,4540.00,4540.00,3835.12,76388000
2025-01-06,4550.00,4560.00,4410.00,4430.00,3742.20,26008100
2025-01-07,4370.00,4410.00,4340.00,4360.00,3683.07,36973900
2025-01-08,4350.00,4430.00,4350.00,4370.00,3691.51,39476000
2025-01-09,4360.00,4410.00,4350.00,4380.00,3699.96,25545500
2025-01-10,4380.00,4420.00,4350.00,4350.00,3674.62,28235300
2025-01-13,4320.00,4330.00,4200.00,4210.00,3556.36,54029800
2025-01-14,4170.00,4240.00,4110.00,4130.00,3488.78,71568000
2025-01-15,4150.00,4430.00,4150.00,4410.00,3725.30,82038200
2025-01-16,4600.00,4600.00,4480.00,4500.00,3801.33,113849300
2025-01-17,4450.00,4570.00,4380.00,4470.00,3775.99,40130000
2025-01-20,4520.00,4660.00,4490.00,4620.00,3902.70,67692300
2025-01-21,4690.00,4820.00,4650.00,4740.00,4004.07,96008700
2025-01-22,4790.00,4810.00,4760.00,4790.00,4046.30,55899500
2025-01-23,4790.00,4820.00,4650.00,4650.00,3928.04,86704800
2025-01-24,4660.00,4700.00,4610.00,4610.00,3894.25,42140900
2025-01-30,4610.00,4670.00,4580.00,4640.00,3919.59,23980100
2025-01-31,4660.00,4880.00,4660.00,4770.00,4029.41,78958600
2025-02-03,4770.00,4800.00,4640.00,4780.00,4037.86,63072700
2025-02-04,4770.00,4780.00,4700.00,4700.00,3970.28,44266700
2025-02-05,4650.00,4680.00,4480.00,4500.00,3801.33,52077600
2025-02-06,4500.00,4510.00,4260.00,4290.00,3623.93,72520900
2025-02-07,4250.00,4350.00,4160.00,4270.00,3607.04,69268900
2025-02-10,4270.00,4310.00,4150.00,4150.00,3505.67,46856100
2025-02-11,4150.00,4170.00,4050.00,4070.00,3438.09,52994400
2025-02-12,4130.00,4300.00,4100.00,4300.00,3632.38,57782300
2025-02-13,4280.00,4300.00,4210.00,4250.00,3590.14,38173200
2025-02-14,4310.00,4390.00,4300.00,4370.00,3691.51,61932800
2025-02-17,4370.00,4590.00,4350.00,4570.00,3860.46,52492800
2025-02-18,4600.00,4750.00,4600.00,4750.00,4012.51,73992700
2025-02-19,4750.00,4750.00,4480.00,4520.00,3818.22,72328000
2025-02-20,4520.00,4550.00,4400.00,4460.00,3767.54,49467500
2025-02-21,4410.00,4440.00,4300.00,4300.00,3632.38,70115400
2025-02-24,4300.00,4320.00,4200.00,4200.00,3547.91,61467000
2025-02-25,4230.00,4280.00,4110.00,4230.00,3573.25,45778400
2025-02-26,4250.00,4350.00,4210.00,4350.00,3674.62,42114300
2025-02-27,4350.00,4370.00,4200.00,4340.00,3666.17,58362900
2025-02-28,4270.00,4270.00,4010.00,4030.00,3404.30,156574800
2025-03-03,4180.00,4310.00,4120.00,4260.00,3598.59,156616300
2025-03-04,4240.00,4290.00,4170.00,4220.00,3564.80,71340000
2025-03-05,4250.00,4540.00,4250.00,4460.00,3767.54,101995600
2025-03-06,4550.00,4700.00,4540.00,4590.00,3877.36,104226000
2025-03-07,4590.00,4590.00,4460.00,4540.00,3835.12,61630700
2025-03-10,4540.00,4540.00,4410.00,4450.00,3759.09,43038000
2025-03-11,4380.00,4460.00,4360.00,4450.00,3759.09,44323600
2025-03-12,4490.00,4550.00,4480.00,4530.00,3826.67,44656600
2025-03-13,4600.00,4600.00,4440.00,4530.00,3826.67,48947400
2025-03-14,4470.00,4520.00,4400.00,4430.00,3742.20,50335900
2025-03-17,4430.00,4460.00,4260.00,4330.00,3657.72,60911900
2025-03-18,4300.00,4310.00,4030.00,4190.00,3539.46,80141500
2025-03-19,4190.00,4250.00,4120.00,4170.00,3522.57,110420100
2025-03-20,4240.00,4270.00,4050.00,4080.00,3446.54,109598400
2025-03-21,4080.00,4090.00,3770.00,3770.00,3184.67,246727700
2025-03-24,3770.00,3830.00,3630.00,3720.00,3142.43,135658700
2025-03-25,3770.00,3930.00,3740.00,3900.00,3294.49,157671900
2025-03-26,4010.00,4280.00,4000.00,4250.00,3590.14,229422000
2025-03-27,4250.00,4280.00,4110.00,4240.00,3581.70,101189600
2025-04-08,3680.00,4080.00,3610.00,4030.00,3404.30,185281600
2025-04-09,4030.00,4140.00,3970.00,4040.00,3412.75,81414200
2025-04-10,4380.00,4400.00,4220.00,4260.00,3598.59,131182600
2025-04-11,4240.00,4400.00,4200.00,4390.00,3708.41,90221600
2025-04-14,4450.00,4550.00,4440.00,4550.00,3843.57,162128800
2025-04-15,4280.00,4350.00,4270.00,4280.00,3939.34,156480600
2025-04-16,4280.00,4290.00,4090.00,4100.00,3773.67,109735100
2025-04-17,4110.00,4150.00,4040.00,4040.00,3718.44,68392500
2025-04-21,4040.00,4050.00,3950.00,3990.00,3672.42,67071400
2025-04-22,3990.00,4050.00,3960.00,4010.00,3690.83,84001100
2025-04-23,4080.00,4170.00,4030.00,4150.00,3819.69,128948700
2025-04-24,4200.00,4250.00,4120.00,4170.00,3838.10,145433700
2025-04-25,4200.00,4210.00,4140.00,4200.00,3865.71,102065100
2025-04-28,4210.00,4250.00,4170.00,4190.00,3856.51,68481300
2025-04-29,4210.00,4220.00,4120.00,4140.00,3810.48,61824000
2025-04-30,4160.00,4180.00,4080.00,4180.00,3847.30,85510000
2025-05-02,4220.00,4230.00,4160.00,4200.00,3865.71,81966800
2025-05-05,4210.00,4280.00,4180.00,4210.00,3874.91,60392100
2025-05-06,4220.00,4230.00,4170.00,4180.00,3847.30,66444400
2025-05-07,4190.00,4200.00,4140.00,4160.00,3828.89,57689300
2025-05-08,4160.00,4220.00,4080.00,4120.00,3792.08,77995600
2025-05-09,4120.00,4140.00,4060.00,4100.00,3773.67,37787800
