Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,4100.00,4220.00,4090.00,4210.00,3601.91,181361700
2025-01-03,4220.00,4240.00,4150.00,4150.00,3550.57,134632300
2025-01-06,4180.00,4180.00,4100.00,4100.00,3507.79,153048700
2025-01-07,4080.00,4090.00,4030.00,4030.00,3447.91,171997400
2025-01-08,4030.00,4100.00,4030.00,4080.00,3490.68,133655700
2025-01-09,4070.00,4100.00,4030.00,4030.00,3447.91,99300400
2025-01-10,4030.00,4060.00,4010.00,4010.00,3430.79,132774300
2025-01-13,3990.00,3990.00,3850.00,3850.00,3293.90,413408100
2025-01-14,3820.00,3920.00,3800.00,3800.00,3251.13,293621700
2025-01-15,3840.00,4090.00,3840.00,4090.00,3499.24,407813500
2025-01-16,4210.00,4240.00,4130.00,4160.00,3559.13,349387500
2025-01-17,4150.00,4190.00,4080.00,4090.00,3499.24,268758600
2025-01-20,4130.00,4220.00,4130.00,4220.00,3610.46,167348600
2025-01-21,4270.00,4380.00,4250.00,4260.00,3644.68,345223800
2025-01-22,4310.00,4320.00,4230.00,4260.00,3644.68,193218900
2025-01-23,4260.00,4340.00,4260.00,4300.00,3678.91,216018100
2025-01-24,4350.00,4350.00,4190.00,4190.00,3584.79,276421900
2025-01-30,4130.00,4170.00,4090.00,4120.00,3524.91,220222400
2025-01-31,4170.00,4280.00,4150.00,4220.00,3610.46,192622700
2025-02-03,4200.00,4270.00,4150.00,4250.00,3636.13,220285800
2025-02-04,4260.00,4300.00,4200.00,4260.00,3644.68,231917500
2025-02-05,4250.00,4250.00,4140.00,4140.00,3542.02,209834400
2025-02-06,4120.00,4160.00,3940.00,3970.00,3396.57,378545500
2025-02-07,3970.00,4030.00,3940.00,4030.00,3447.91,259636200
2025-02-10,4000.00,4050.00,3950.00,3970.00,3396.57,201999400
2025-02-11,3970.00,4040.00,3900.00,4010.00,3430.79,276382800
2025-02-12,3960.00,4060.00,3950.00,4030.00,3447.91,362571900
2025-02-13,4000.00,4030.00,3960.00,3990.00,3413.68,341640600
2025-02-14,4000.00,4010.00,3850.00,3860.00,3302.46,524909600
2025-02-17,3870.00,4030.00,3870.00,4030.00,3447.91,265737100
2025-02-18,4030.00,4180.00,4030.00,4150.00,3550.57,374350700
2025-02-19,4160.00,4180.00,4010.00,4020.00,3439.35,348358600
2025-02-20,3970.00,4020.00,3910.00,3910.00,3345.24,312753300
2025-02-21,3910.00,3930.00,3870.00,3890.00,3328.13,205268800
2025-02-24,3900.00,3940.00,3870.00,3920.00,3353.79,138610800
2025-02-25,3880.00,3920.00,3800.00,3800.00,3251.13,404555100
2025-02-26,3800.00,3860.00,3760.00,3820.00,3268.24,242834100
2025-02-27,3790.00,3800.00,3610.00,3630.00,3105.68,410928000
2025-02-28,3500.00,3540.00,3360.00,3360.00,2874.68,1000597600
2025-03-03,3520.00,3740.00,3470.00,3670.00,3139.90,744626800
2025-03-04,3680.00,3720.00,3600.00,3670.00,3139.90,338434700
2025-03-05,3710.00,3900.00,3710.00,3840.00,3285.35,441151000
2025-03-06,3870.00,3990.00,3870.00,3950.00,3379.46,434485100
2025-03-07,3930.00,3930.00,3810.00,3810.00,3259.68,243793600
2025-03-10,3790.00,3810.00,3730.00,3760.00,3216.90,232192200
2025-03-11,3700.00,3790.00,3660.00,3790.00,3242.57,273961800
2025-03-12,3810.00,3920.00,3810.00,3890.00,3328.13,271631200
2025-03-13,3960.00,3970.00,3800.00,3800.00,3251.13,209225700
2025-03-14,3750.00,3840.00,3750.00,3750.00,3208.35,156131900
2025-03-17,3780.00,3840.00,3730.00,3830.00,3276.79,162467700
2025-03-18,3840.00,3860.00,3500.00,3680.00,3148.46,416894600
2025-03-19,3710.00,3780.00,3680.00,3710.00,3174.13,352217700
2025-03-20,3730.00,3760.00,3640.00,3660.00,3131.35,313033000
2025-03-21,3600.00,3700.00,3550.00,3700.00,3165.57,627645600
2025-03-24,3650.00,3740.00,3520.00,3610.00,3088.57,342883200
