Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,5700.00,5850.00,5700.00,5850.00,5210.01,82914600
2025-01-03,5850.00,5875.00,5775.00,5800.00,5165.48,58067100
2025-01-06,5825.00,5825.00,5650.00,5675.00,5054.15,68443700
2025-01-07,5600.00,5650.00,5550.00,5600.00,4987.36,96982300
2025-01-08,5600.00,5750.00,5600.00,5750.00,5120.95,118246100
2025-01-09,5725.00,5775.00,5700.00,5750.00,5120.95,56491700
2025-01-10,5750.00,5775.00,5600.00,5600.00,4987.36,77751500
2025-01-13,5500.00,5550.00,5475.00,5525.00,4920.56,99953900
2025-01-14,5425.00,5575.00,5400.00,5400.00,4809.24,97351900
2025-01-15,5475.00,5825.00,5450.00,5750.00,5120.95,194025700
2025-01-16,6075.00,6200.00,5850.00,5875.00,5232.27,204359900
2025-01-17,5800.00,6050.00,5750.00,5875.00,5232.27,114054600
2025-01-20,6000.00,6050.00,5925.00,6000.00,5343.60,84338400
2025-01-21,6100.00,6175.00,6025.00,6050.00,5388.13,115355900
2025-01-22,6150.00,6200.00,6100.00,6150.00,5477.19,117929800
2025-01-23,6200.00,6300.00,6175.00,6175.00,5499.45,120893700
2025-01-24,6250.00,6250.00,6125.00,6125.00,5454.92,96161800
2025-01-30,6100.00,6225.00,6075.00,6100.00,5432.66,101400400
2025-01-31,6175.00,6225.00,6025.00,6025.00,5365.86,107861000
2025-02-03,5975.00,6000.00,5700.00,5800.00,5165.48,182181700
2025-02-04,5825.00,5850.00,5625.00,5675.00,5054.15,121871500
2025-02-05,5600.00,5600.00,5475.00,5525.00,4920.56,185656000
2025-02-06,5425.00,5425.00,5000.00,5100.00,4542.06,642118700
2025-02-07,5000.00,5150.00,4950.00,5150.00,4586.59,407896100
2025-02-10,5150.00,5150.00,4990.00,5000.00,4453.00,169384300
2025-02-11,4750.00,4950.00,4750.00,4880.00,4346.13,316743200
2025-02-12,4920.00,4950.00,4830.00,4940.00,4399.56,225073300
2025-02-13,4940.00,5075.00,4900.00,5025.00,4475.26,215271400
2025-02-14,5100.00,5200.00,4970.00,5125.00,4564.32,239709300
2025-02-17,5200.00,5475.00,5175.00,5425.00,4831.50,223837300
2025-02-18,5450.00,5550.00,5375.00,5450.00,4853.77,157430200
2025-02-19,5375.00,5400.00,5125.00,5175.00,4608.85,204335500
2025-02-20,5125.00,5225.00,5100.00,5150.00,4586.59,98363500
2025-02-21,5000.00,5100.00,5000.00,5075.00,4519.79,152528600
2025-02-24,5050.00,5075.00,4980.00,5025.00,4475.26,127578500
2025-02-25,5000.00,5025.00,4860.00,4870.00,4337.22,224607800
2025-02-26,4860.00,4980.00,4850.00,4920.00,4381.75,161836900
2025-02-27,4930.00,4950.00,4660.00,4660.00,4150.19,334919800
2025-02-28,4620.00,4690.00,4550.00,4600.00,4096.76,464696700
2025-03-03,4750.00,4980.00,4700.00,4900.00,4363.94,257118300
2025-03-04,4900.00,4920.00,4750.00,4840.00,4310.50,144346500
2025-03-05,4860.00,5050.00,4860.00,4860.00,4328.31,252222800
2025-03-06,4910.00,4980.00,4870.00,4870.00,4337.22,194909200
2025-03-07,4870.00,4870.00,4810.00,4840.00,4310.50,117916600
2025-03-10,4730.00,4760.00,4660.00,4710.00,4194.72,231152200
2025-03-11,4650.00,4780.00,4640.00,4740.00,4221.44,150738100
2025-03-12,4750.00,4880.00,4750.00,4880.00,4346.13,129973900
2025-03-13,4940.00,4940.00,4710.00,4740.00,4221.44,176286000
2025-03-14,4640.00,4800.00,4640.00,4740.00,4221.44,154331400
2025-03-17,4740.00,4770.00,4660.00,4680.00,4168.00,135692800
2025-03-18,4680.00,4690.00,4300.00,4530.00,4034.42,387565100
2025-03-19,4530.00,4700.00,4440.00,4680.00,4168.00,273084900
2025-03-20,4760.00,4770.00,4610.00,4620.00,4114.57,138209700
2025-03-21,4600.00,4610.00,4380.00,4410.00,3927.54,374396400
2025-03-24,4350.00,4530.00,4250.00,4460.00,3972.07,319017400
2025-03-25,4500.00,4810.00,4500.00,4740.00,4221.44,313034100
2025-03-26,4980.00,5175.00,4930.00,5150.00,4586.59,582172700
2025-03-27,5150.00,5250.00,5050.00,5200.00,4631.12,301025300
2025-04-08,4500.00,4830.00,4500.00,4670.00,4159.10,738455000
2025-04-09,4630.00,4790.00,4630.00,4710.00,4194.72,316821100
2025-04-10,5200.00,5225.00,4970.00,5025.00,4475.26,559966600
2025-04-11,5000.00,5175.00,4950.00,5100.00,4542.06,384917500
2025-04-14,4650.00,4750.00,4650.00,4750.00,4655.94,423716000
2025-04-15,4800.00,4820.00,4710.00,4710.00,4616.73,230981700
2025-04-16,4740.00,4750.00,4590.00,4630.00,4538.32,201660000
2025-04-17,4630.00,4660.00,4570.00,4600.00,4508.91,165381400
2025-04-21,4600.00,4640.00,4560.00,4610.00,4518.71,83034600
2025-04-22,4610.00,4720.00,4590.00,4720.00,4626.53,126426200
2025-04-23,4780.00,4900.00,4740.00,4900.00,4802.97,273395600
2025-04-24,4950.00,5025.00,4860.00,4890.00,4793.17,282970000
