Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,11375.00,11375.00,11125.00,11225.00,10960.88,846100
2025-01-03,11225.00,11375.00,11225.00,11375.00,11107.35,1377300
2025-01-06,11375.00,11375.00,11150.00,11175.00,10912.06,1981900
2025-01-07,11100.00,11175.00,10925.00,10925.00,10667.94,3994000
2025-01-08,10925.00,11225.00,10925.00,11100.00,10838.82,5788600
2025-01-09,11100.00,11100.00,11025.00,11025.00,10765.59,1495000
2025-01-10,11025.00,11125.00,10950.00,11075.00,10814.41,2469200
2025-01-13,11050.00,11125.00,10975.00,11100.00,10838.82,3913400
2025-01-14,11100.00,11100.00,10750.00,10750.00,10497.06,3999700
2025-01-15,10750.00,10900.00,10600.00,10775.00,10521.47,4810100
2025-01-16,10800.00,11025.00,10750.00,10925.00,10667.94,3687800
2025-01-17,10900.00,11050.00,10700.00,10825.00,10570.29,2690000
2025-01-20,10800.00,10800.00,10525.00,10525.00,10277.35,2593900
2025-01-21,10525.00,11375.00,10500.00,11000.00,10741.18,5679300
2025-01-22,11200.00,11475.00,11100.00,11375.00,11107.35,5640100
2025-01-23,11400.00,11500.00,11275.00,11275.00,11009.71,2962600
2025-01-24,11000.00,11650.00,11000.00,11425.00,11156.18,4293800
2025-01-30,11425.00,11650.00,11375.00,11575.00,11302.65,2052100
2025-01-31,11675.00,11850.00,11450.00,11500.00,11229.41,2701400
2025-02-03,11450.00,11575.00,11025.00,11225.00,10960.88,3242900
2025-02-04,11425.00,11425.00,11025.00,11100.00,10838.82,2543100
2025-02-05,11100.00,11200.00,10825.00,10900.00,10643.53,4420400
2025-02-06,11075.00,11075.00,10875.00,10950.00,10692.35,3635900
2025-02-07,11075.00,11400.00,10800.00,11375.00,11107.35,4344400
2025-02-10,11450.00,11850.00,11200.00,11275.00,11009.71,6793800
2025-02-11,11225.00,11375.00,11000.00,11225.00,10960.88,4041900
2025-02-12,11200.00,11225.00,11025.00,11150.00,10887.65,2337100
2025-02-13,11150.00,11400.00,11000.00,11225.00,10960.88,3580600
2025-02-14,11225.00,11700.00,11225.00,11525.00,11253.82,6318600
2025-02-17,11525.00,11650.00,11450.00,11500.00,11229.41,1815500
2025-02-18,11500.00,11725.00,11425.00,11525.00,11253.82,4037000
2025-02-19,11625.00,11775.00,11525.00,11650.00,11375.88,4837300
2025-02-20,11675.00,11700.00,11425.00,11550.00,11278.24,2565800
2025-02-21,11525.00,11675.00,11325.00,11500.00,11229.41,4313200
2025-02-24,11475.00,12000.00,11425.00,11875.00,11595.59,3749400
2025-02-25,11875.00,11875.00,11325.00,11325.00,11058.53,4676200
2025-02-26,11325.00,11325.00,10275.00,10500.00,10252.94,10117200
2025-02-27,10500.00,10600.00,10225.00,10400.00,10155.29,10113900
2025-02-28,10275.00,10575.00,10200.00,10450.00,10204.12,9319700
2025-03-03,10450.00,10725.00,10350.00,10575.00,10326.18,3313000
2025-03-04,10575.00,10650.00,10400.00,10575.00,10326.18,3491200
2025-03-05,10600.00,10650.00,10400.00,10400.00,10155.29,5465900
2025-03-06,10325.00,10525.00,10325.00,10350.00,10106.47,3741000
2025-03-07,10350.00,10725.00,10275.00,10550.00,10301.76,3290700
2025-03-10,10550.00,10725.00,10475.00,10600.00,10350.59,3750000
2025-03-11,10400.00,10575.00,10325.00,10425.00,10179.71,1234500
2025-03-12,10500.00,10975.00,10500.00,10925.00,10667.94,4504800
2025-03-13,11000.00,11075.00,10775.00,11000.00,10741.18,3685600
2025-03-14,11025.00,11025.00,10725.00,10750.00,10497.06,2173400
2025-03-17,10725.00,11000.00,10675.00,10950.00,10692.35,1895300
2025-03-18,10950.00,10950.00,10525.00,10825.00,10570.29,3133000
2025-03-19,10775.00,10775.00,10450.00,10725.00,10472.65,3129100
2025-03-20,10725.00,10725.00,10525.00,10600.00,10350.59,2096000
2025-03-21,10600.00,10725.00,10475.00,10575.00,10326.18,4579600
2025-03-24,10500.00,10525.00,9925.00,10425.00,10179.71,8524900
2025-03-25,10450.00,10675.00,10375.00,10375.00,10130.88,2272600
2025-03-26,10450.00,10575.00,10300.00,10550.00,10301.76,3818000
2025-03-27,10350.00,10450.00,10100.00,10175.00,9935.59,6715200
2025-04-08,10000.00,10000.00,9500.00,9700.00,9471.76,13575500
2025-04-09,9700.00,10075.00,9450.00,9575.00,9349.71,6675700
2025-04-10,9825.00,10100.00,9775.00,10000.00,9764.71,6369200
2025-04-11,9650.00,9950.00,9550.00,9925.00,9691.47,5910000
2025-04-14,9925.00,10350.00,9925.00,10325.00,10082.06,3364000
2025-04-15,10325.00,10475.00,10050.00,10475.00,10228.53,5346100
2025-04-16,10475.00,10475.00,10200.00,10250.00,10008.82,3047800
2025-04-17,10250.00,10750.00,10100.00,10600.00,10350.59,7789900
2025-04-21,10600.00,10600.00,10400.00,10550.00,10301.76,1425200
2025-04-22,10550.00,10550.00,10450.00,10475.00,10228.53,1806100
2025-04-23,10475.00,10750.00,10400.00,10700.00,10448.24,7661100
2025-04-24,10700.00,11000.00,10700.00,11000.00,10741.18,4147600
2025-04-25,11100.00,11150.00,10900.00,11000.00,10741.18,4395500
2025-04-28,11025.00,11075.00,10850.00,11000.00,10741.18,1094100
2025-04-29,11000.00,11275.00,10900.00,11250.00,10985.29,2295500
2025-04-30,11250.00,11350.00,11050.00,11350.00,11082.94,2335600
2025-05-02,11350.00,11350.00,10550.00,11000.00,10741.18,10223300
2025-05-05,11050.00,11325.00,11050.00,11200.00,10936.47,3839600
2025-05-06,11250.00,11600.00,11250.00,11275.00,11009.71,4443700
2025-05-07,11350.00,11400.00,11075.00,11075.00,10814.41,4410500
2025-05-08,11200.00,11400.00,11100.00,11400.00,11131.76,3008000
