Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,2460.00,2460.00,2370.00,2380.00,2285.03,14055700
2025-01-03,2400.00,2420.00,2380.00,2390.00,2294.63,5456200
2025-01-06,2410.00,2410.00,2320.00,2350.00,2256.22,14448700
2025-01-07,2350.00,2370.00,2320.00,2340.00,2246.62,5080800
2025-01-08,2340.00,2370.00,2310.00,2340.00,2246.62,6845000
2025-01-09,2340.00,2430.00,2340.00,2390.00,2294.63,4544400
2025-01-10,2410.00,2410.00,2380.00,2380.00,2285.03,2506400
2025-01-13,2380.00,2390.00,2340.00,2390.00,2294.63,3847600
2025-01-14,2410.00,2410.00,2360.00,2360.00,2265.82,3118000
2025-01-15,2360.00,2390.00,2350.00,2380.00,2285.03,5435700
2025-01-16,2380.00,2380.00,2340.00,2350.00,2256.22,5786100
2025-01-17,2350.00,2350.00,2270.00,2280.00,2189.02,11054100
2025-01-20,2290.00,2310.00,2250.00,2250.00,2160.21,5699500
2025-01-21,2260.00,2310.00,2260.00,2290.00,2198.62,5291400
2025-01-22,2300.00,2340.00,2290.00,2300.00,2208.22,9231700
2025-01-23,2320.00,2360.00,2300.00,2330.00,2237.02,13081300
2025-01-24,2330.00,2370.00,2310.00,2330.00,2237.02,6047500
2025-01-30,2330.00,2330.00,2250.00,2290.00,2198.62,6271400
2025-01-31,2330.00,2340.00,2290.00,2310.00,2217.82,14427200
2025-02-03,2310.00,2310.00,2210.00,2240.00,2150.61,18361900
2025-02-04,2240.00,2270.00,2220.00,2250.00,2160.21,18326000
2025-02-05,2260.00,2260.00,2200.00,2230.00,2141.01,9938400
2025-02-06,2250.00,2250.00,2150.00,2190.00,2102.61,13348300
2025-02-07,2200.00,2230.00,2160.00,2220.00,2131.41,3139100
2025-02-10,2220.00,2230.00,1905.00,1920.00,1843.38,32268900
2025-02-11,1920.00,1920.00,1580.00,1625.00,1560.15,128399400
2025-02-12,1635.00,1760.00,1610.00,1740.00,1670.57,56036000
2025-02-13,1750.00,1755.00,1680.00,1735.00,1665.77,27100000
2025-02-14,1745.00,1750.00,1700.00,1705.00,1636.96,19760300
2025-02-17,1700.00,1765.00,1695.00,1740.00,1670.57,20808800
2025-02-18,1740.00,1770.00,1725.00,1730.00,1660.96,21608100
2025-02-19,1730.00,1730.00,1675.00,1700.00,1632.16,35882300
2025-02-20,1700.00,1850.00,1700.00,1755.00,1684.97,57943700
2025-02-21,1775.00,1795.00,1720.00,1730.00,1660.96,15661100
2025-02-24,1730.00,1735.00,1665.00,1675.00,1608.16,20609600
2025-02-25,1690.00,1690.00,1610.00,1615.00,1550.55,22161900
2025-02-26,1630.00,1640.00,1550.00,1625.00,1560.15,22083200
2025-02-27,1640.00,1645.00,1570.00,1585.00,1521.75,17873600
2025-02-28,1585.00,1585.00,1470.00,1480.00,1420.94,39963500
2025-03-03,1510.00,1615.00,1505.00,1600.00,1536.15,26227400
2025-03-04,1600.00,1610.00,1545.00,1570.00,1507.35,25027300
2025-03-05,1605.00,1630.00,1580.00,1580.00,1516.95,24717800
2025-03-06,1585.00,1595.00,1530.00,1540.00,1478.55,43035100
2025-03-07,1540.00,1555.00,1535.00,1540.00,1478.55,14592500
2025-03-10,1540.00,1555.00,1510.00,1540.00,1478.55,17374200
2025-03-11,1560.00,1560.00,1505.00,1515.00,1454.54,24721800
2025-03-12,1515.00,1545.00,1505.00,1530.00,1468.95,16425300
2025-03-13,1545.00,1555.00,1515.00,1530.00,1468.95,13951300
2025-03-14,1530.00,1585.00,1510.00,1570.00,1507.35,19188100
2025-03-17,1575.00,1605.00,1565.00,1595.00,1531.35,16203100
2025-03-18,1595.00,1595.00,1480.00,1515.00,1454.54,24932700
2025-03-19,1520.00,1520.00,1465.00,1470.00,1411.34,33901000
2025-03-20,1480.00,1490.00,1400.00,1410.00,1353.73,29414400
2025-03-21,1415.00,1425.00,1330.00,1335.00,1281.73,44726500
2025-03-24,1335.00,1415.00,1310.00,1415.00,1358.53,40493200
2025-03-25,1415.00,1465.00,1390.00,1460.00,1401.74,18255800
2025-03-26,1460.00,1540.00,1460.00,1510.00,1449.74,22649100
2025-03-27,1510.00,1520.00,1450.00,1455.00,1396.94,18572300
2025-04-08,1350.00,1350.00,1240.00,1255.00,1204.92,38192800
2025-04-09,1255.00,1365.00,1255.00,1350.00,1296.13,56227700
2025-04-10,1415.00,1485.00,1405.00,1455.00,1396.94,53545000
2025-04-11,1455.00,1460.00,1410.00,1435.00,1377.74,29860100
2025-04-14,1470.00,1520.00,1465.00,1505.00,1444.94,26466000
2025-04-15,1515.00,1590.00,1510.00,1570.00,1507.35,26007300
2025-04-16,1570.00,1630.00,1570.00,1595.00,1531.35,26783500
2025-04-17,1600.00,1775.00,1595.00,1735.00,1665.77,58742600
2025-04-21,1735.00,1760.00,1640.00,1680.00,1612.96,42611600
2025-04-22,1690.00,1735.00,1680.00,1725.00,1656.16,22362900
2025-04-23,1740.00,1755.00,1710.00,1735.00,1665.77,18944500
2025-04-24,1735.00,1855.00,1735.00,1855.00,1780.98,42670900
2025-04-25,1870.00,1885.00,1830.00,1845.00,1771.38,22223300
2025-04-28,1850.00,1940.00,1830.00,1850.00,1776.18,37674400
2025-04-29,1855.00,2030.00,1845.00,1935.00,1857.78,92888700
2025-04-30,1950.00,2040.00,1700.00,1750.00,1680.17,99538400
2025-05-02,1895.00,1940.00,1830.00,1890.00,1814.58,79438300
2025-05-05,1910.00,1975.00,1865.00,1915.00,1838.58,25967500
2025-05-06,1925.00,1965.00,1910.00,1950.00,1872.19,27720500
2025-05-07,1950.00,1955.00,1910.00,1950.00,1872.19,29363700
2025-05-08,1950.00,1955.00,1855.00,1865.00,1790.58,22152200
2025-05-09,1865.00,1900.00,1790.00,1820.00,1747.37,26088800
2025-05-14,1855.00,1915.00,1845.00,1885.00,1809.78,16648000
2025-05-15,1890.00,1980.00,1890.00,1960.00,1881.79,28935600
2025-05-16,1970.00,2020.00,1920.00,2020.00,1939.39,41016900
2025-05-19,2020.00,2130.00,2010.00,2100.00,2016.20,28894000
2025-05-20,2120.00,2160.00,2000.00,2050.00,1968.20,26534500
2025-05-21,2060.00,2140.00,2040.00,2100.00,2016.20,23125400
2025-05-22,2120.00,2130.00,2070.00,2080.00,1997.00,13825200
2025-05-23,2100.00,2130.00,2080.00,2120.00,2035.40,7605100
2025-05-26,2120.00,2130.00,2090.00,2090.00,2006.60,12912500
2025-05-27,2120.00,2200.00,2110.00,2150.00,2064.20,15258300
2025-05-28,2160.00,2180.00,2090.00,2090.00,2006.60,20327200
2025-06-02,2090.00,2110.00,2010.00,2070.00,1987.40,19769200
2025-06-03,2040.00,2080.00,2010.00,2080.00,1997.00,17367600
2025-06-04,2090.00,2100.00,2030.00,2070.00,1987.40,15379400
2025-06-05,2070.00,2090.00,2030.00,2080.00,1997.00,8142900
2025-06-10,2080.00,2130.00,2080.00,2110.00,2025.80,14890500
2025-06-11,2120.00,2130.00,2070.00,2100.00,2016.20,9833800
2025-06-12,2030.00,2120.00,2010.00,2060.00,2060.00,13853400
2025-06-13,2070.00,2110.00,2070.00,2090.00,2090.00,16283400
2025-06-16,2080.00,2110.00,2080.00,2090.00,2090.00,9771200
2025-06-17,2100.00,2110.00,2080.00,2090.00,2090.00,10767600
2025-06-18,2090.00,2100.00,2070.00,2090.00,2090.00,9590800
2025-06-19,2090.00,2190.00,2080.00,2090.00,2090.00,16619500
2025-06-20,2090.00,2120.00,2080.00,2100.00,2100.00,18810900
2025-06-23,2090.00,2090.00,1900.00,2020.00,2020.00,18392000
2025-06-24,2040.00,2090.00,2040.00,2060.00,2060.00,8504200
2025-06-25,2060.00,2070.00,2050.00,2050.00,2050.00,3032100
2025-06-26,2060.00,2120.00,2040.00,2090.00,2090.00,27008900
2025-06-30,2120.00,2160.00,2090.00,2090.00,2090.00,23126600
2025-07-01,2130.00,2150.00,2100.00,2100.00,2100.00,3308500
2025-07-02,2120.00,2170.00,2090.00,2120.00,2120.00,14476600
2025-07-03,2140.00,2150.00,2070.00,2110.00,2110.00,9957800
2025-07-04,2110.00,2120.00,2080.00,2090.00,2090.00,6765000
2025-07-07,2100.00,2110.00,2070.00,2080.00,2080.00,11085600
2025-07-08,2100.00,2120.00,2080.00,2110.00,2110.00,7519700
2025-07-09,2110.00,2120.00,2070.00,2090.00,2090.00,8809700
2025-07-10,2090.00,2110.00,2090.00,2100.00,2100.00,3475500
2025-07-11,2110.00,2120.00,2090.00,2100.00,2100.00,9712000
2025-07-14,2110.00,2120.00,2030.00,2050.00,2050.00,9066600
2025-07-15,2060.00,2070.00,2030.00,2040.00,2040.00,15399800
