Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,2710.00,2740.00,2680.00,2700.00,2502.87,38776700
2025-01-03,2740.00,2770.00,2730.00,2750.00,2549.22,49907500
2025-01-06,2760.00,2770.00,2660.00,2690.00,2493.60,54087800
2025-01-07,2670.00,2680.00,2570.00,2570.00,2382.36,109758000
2025-01-08,2590.00,2700.00,2590.00,2650.00,2456.52,100688500
2025-01-09,2690.00,2700.00,2620.00,2620.00,2428.71,55206700
2025-01-10,2640.00,2690.00,2630.00,2680.00,2484.33,54496800
2025-01-13,2670.00,2740.00,2650.00,2670.00,2475.06,90816500
2025-01-14,2670.00,2690.00,2610.00,2620.00,2428.71,53116800
2025-01-15,2640.00,2670.00,2620.00,2630.00,2437.98,52867900
2025-01-16,2660.00,2660.00,2590.00,2590.00,2400.90,118890200
2025-01-17,2630.00,2680.00,2610.00,2660.00,2465.79,107245400
2025-01-20,2670.00,2690.00,2610.00,2610.00,2419.44,49752300
2025-01-21,2630.00,2660.00,2600.00,2630.00,2437.98,86549000
2025-01-22,2680.00,2750.00,2650.00,2730.00,2530.68,128617700
2025-01-23,2730.00,2750.00,2710.00,2710.00,2512.14,63216100
2025-01-24,2740.00,2750.00,2690.00,2690.00,2493.60,49844700
2025-01-30,2690.00,2710.00,2610.00,2640.00,2447.25,89736900
2025-01-31,2660.00,2710.00,2660.00,2660.00,2465.79,83736900
2025-02-03,2620.00,2630.00,2560.00,2630.00,2437.98,91801900
2025-02-04,2640.00,2660.00,2590.00,2640.00,2447.25,95311100
2025-02-05,2600.00,2640.00,2590.00,2620.00,2428.71,110400300
2025-02-06,2630.00,2630.00,2520.00,2560.00,2373.09,90471900
2025-02-07,2550.00,2590.00,2510.00,2590.00,2400.90,105020200
2025-02-10,2520.00,2550.00,2440.00,2440.00,2261.85,153328500
2025-02-11,2430.00,2450.00,2300.00,2320.00,2150.61,254907800
2025-02-12,2360.00,2480.00,2350.00,2480.00,2298.93,173407600
2025-02-13,2370.00,2420.00,2310.00,2420.00,2243.31,219425500
2025-02-14,2460.00,2530.00,2440.00,2530.00,2345.28,156474300
2025-02-17,2570.00,2650.00,2530.00,2650.00,2456.52,113998200
2025-02-18,2660.00,2710.00,2630.00,2680.00,2484.33,115881200
2025-02-19,2680.00,2690.00,2600.00,2670.00,2475.06,119388200
2025-02-20,2650.00,2680.00,2620.00,2670.00,2475.06,90411700
2025-02-21,2670.00,2680.00,2630.00,2650.00,2456.52,75110600
2025-02-24,2630.00,2640.00,2570.00,2600.00,2410.17,42327600
2025-02-25,2560.00,2580.00,2460.00,2460.00,2280.39,111687700
2025-02-26,2500.00,2520.00,2460.00,2520.00,2336.01,65752000
2025-02-27,2520.00,2560.00,2430.00,2490.00,2308.20,88741400
2025-02-28,2470.00,2470.00,2350.00,2350.00,2178.42,249795300
2025-03-03,2400.00,2420.00,2370.00,2400.00,2224.77,178833400
2025-03-04,2400.00,2440.00,2350.00,2380.00,2206.23,131347800
2025-03-05,2420.00,2470.00,2410.00,2450.00,2271.12,167407400
2025-03-06,2490.00,2510.00,2400.00,2400.00,2224.77,131136100
2025-03-07,2430.00,2470.00,2350.00,2410.00,2234.04,182407000
2025-03-10,2430.00,2430.00,2370.00,2390.00,2215.50,88949400
2025-03-11,2380.00,2390.00,2350.00,2370.00,2196.96,102235600
2025-03-12,2410.00,2490.00,2400.00,2450.00,2271.12,98938700
2025-03-13,2470.00,2490.00,2420.00,2430.00,2252.58,66706500
2025-03-14,2450.00,2480.00,2410.00,2420.00,2243.31,107627100
2025-03-17,2420.00,2450.00,2410.00,2420.00,2243.31,58129400
2025-03-18,2450.00,2470.00,2300.00,2420.00,2243.31,139758600
2025-03-19,2420.00,2440.00,2380.00,2430.00,2252.58,96825800
2025-03-20,2440.00,2440.00,2350.00,2390.00,2215.50,94823100
2025-03-21,2370.00,2380.00,2300.00,2310.00,2141.34,204534000
2025-03-24,2320.00,2360.00,2240.00,2330.00,2159.88,105865000
2025-03-25,2340.00,2360.00,2300.00,2340.00,2169.15,107964200
2025-03-26,2360.00,2460.00,2350.00,2440.00,2261.85,215856700
2025-03-27,2430.00,2430.00,2390.00,2410.00,2234.04,120411200
2025-04-08,2050.00,2300.00,2050.00,2290.00,2122.80,409973200
2025-04-09,2440.00,2440.00,2300.00,2320.00,2150.61,120363300
2025-04-10,2450.00,2470.00,2320.00,2350.00,2178.42,139327100
2025-04-11,2320.00,2350.00,2300.00,2330.00,2159.88,60214100
2025-04-14,2320.00,2430.00,2310.00,2430.00,2252.58,116968600
2025-04-15,2460.00,2470.00,2420.00,2450.00,2271.12,99064500
2025-04-16,2490.00,2510.00,2450.00,2480.00,2298.93,121853000
2025-04-17,2500.00,2660.00,2490.00,2550.00,2363.82,195577900
2025-04-21,2600.00,2610.00,2510.00,2570.00,2382.36,84209300
2025-04-22,2570.00,2570.00,2520.00,2550.00,2363.82,44958000
2025-04-23,2580.00,2640.00,2570.00,2630.00,2437.98,128704200
2025-04-24,2630.00,2650.00,2600.00,2630.00,2437.98,75733400
2025-04-25,2630.00,2650.00,2570.00,2600.00,2410.17,93439600
2025-04-28,2600.00,2610.00,2560.00,2560.00,2373.09,51086400
2025-04-29,2570.00,2600.00,2560.00,2590.00,2400.90,56546100
2025-04-30,2600.00,2640.00,2600.00,2640.00,2447.25,96333300
2025-05-02,2640.00,2720.00,2620.00,2680.00,2484.33,132357600
2025-05-05,2710.00,2710.00,2670.00,2700.00,2502.87,85592500
2025-05-06,2720.00,2730.00,2680.00,2680.00,2484.33,76948300
2025-05-07,2680.00,2690.00,2620.00,2620.00,2428.71,100293700
2025-05-08,2630.00,2640.00,2570.00,2570.00,2382.36,122965300
2025-05-09,2570.00,2630.00,2570.00,2600.00,2410.17,59433500
2025-05-14,2530.00,2620.00,2530.00,2590.00,2400.90,132760900
2025-05-15,2580.00,2690.00,2580.00,2660.00,2465.79,120039700
2025-05-16,2710.00,2750.00,2680.00,2740.00,2539.95,101569600
2025-05-19,2760.00,2860.00,2740.00,2820.00,2614.10,164194700
2025-05-20,2830.00,2840.00,2740.00,2740.00,2539.95,129805200
2025-05-21,2710.00,2780.00,2690.00,2750.00,2549.22,120242100
2025-05-22,2750.00,2850.00,2750.00,2800.00,2595.56,131277300
2025-05-23,2710.00,2720.00,2690.00,2690.00,2493.60,141199500
2025-05-26,2720.00,2820.00,2700.00,2800.00,2595.56,186806300
2025-05-27,2840.00,2880.00,2790.00,2830.00,2623.37,279180500
2025-05-28,2860.00,2870.00,2800.00,2820.00,2614.10,531309500
2025-06-02,2780.00,2820.00,2750.00,2780.00,2577.03,211393400
2025-06-03,2780.00,2830.00,2730.00,2800.00,2595.56,142896600
2025-06-04,2810.00,2860.00,2810.00,2820.00,2614.10,125006700
2025-06-05,2850.00,2850.00,2820.00,2840.00,2632.64,95008500
2025-06-10,2920.00,2920.00,2880.00,2910.00,2697.53,213564000
2025-06-11,2750.00,2810.00,2730.00,2800.00,2800.00,200609800
2025-06-12,2830.00,2830.00,2750.00,2780.00,2780.00,97099100
2025-06-13,2770.00,2770.00,2720.00,2740.00,2740.00,81111300
2025-06-16,2740.00,2770.00,2730.00,2740.00,2740.00,46641000
2025-06-17,2800.00,2800.00,2760.00,2760.00,2760.00,59643500
2025-06-18,2770.00,2800.00,2760.00,2770.00,2770.00,70757600
2025-06-19,2740.00,2780.00,2630.00,2690.00,2690.00,98911200
2025-06-20,2700.00,2710.00,2640.00,2640.00,2640.00,243027500
2025-06-23,2610.00,2610.00,2560.00,2580.00,2580.00,73554200
2025-06-24,2600.00,2670.00,2580.00,2590.00,2590.00,107300200
2025-06-25,2650.00,2650.00,2560.00,2620.00,2620.00,79958900
2025-06-26,2620.00,2710.00,2590.00,2710.00,2710.00,132868200
2025-06-30,2780.00,2790.00,2730.00,2780.00,2780.00,124299500
2025-07-01,2800.00,2810.00,2760.00,2810.00,2810.00,73006700
2025-07-02,2820.00,2820.00,2730.00,2780.00,2780.00,92321600
2025-07-03,2780.00,2810.00,2690.00,2710.00,2710.00,69094400
2025-07-04,2710.00,2720.00,2620.00,2630.00,2630.00,53587300
2025-07-07,2630.00,2700.00,2610.00,2700.00,2700.00,33446600
2025-07-08,2680.00,2700.00,2640.00,2650.00,2650.00,45926000
2025-07-09,2650.00,2680.00,2640.00,2670.00,2670.00,44897100
