Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,655.00,655.00,630.00,640.00,616.05,21166100
2025-01-03,670.00,730.00,670.00,720.00,693.06,98877000
2025-01-06,725.00,725.00,690.00,700.00,673.81,33181200
2025-01-07,695.00,700.00,675.00,695.00,674.78,15237000
2025-01-08,695.00,695.00,660.00,675.00,655.36,35253200
2025-01-09,670.00,675.00,650.00,670.00,650.51,29486900
2025-01-10,670.00,675.00,655.00,675.00,655.36,20080500
2025-01-13,670.00,670.00,650.00,650.00,631.09,27693100
2025-01-14,650.00,655.00,635.00,645.00,626.24,19201800
2025-01-15,645.00,680.00,645.00,675.00,655.36,23115900
2025-01-16,695.00,700.00,670.00,680.00,660.22,22507300
2025-01-17,680.00,680.00,655.00,660.00,640.80,26940700
2025-01-20,670.00,680.00,655.00,665.00,645.65,23345600
2025-01-21,665.00,675.00,660.00,670.00,650.51,13325100
2025-01-22,670.00,690.00,660.00,685.00,665.07,32340000
2025-01-23,680.00,700.00,680.00,695.00,674.78,30097200
2025-01-24,695.00,695.00,675.00,680.00,660.22,20095800
2025-01-30,680.00,680.00,655.00,670.00,650.51,29237400
2025-01-31,670.00,675.00,635.00,635.00,616.53,41675400
2025-02-03,635.00,640.00,615.00,630.00,611.67,48693900
2025-02-04,630.00,635.00,620.00,630.00,611.67,15690400
2025-02-05,630.00,630.00,610.00,630.00,611.67,41327800
2025-02-06,625.00,630.00,615.00,630.00,611.67,18606300
2025-02-07,625.00,630.00,615.00,630.00,611.67,14731600
2025-02-10,625.00,625.00,615.00,615.00,597.11,10796100
2025-02-11,615.00,620.00,585.00,595.00,577.69,34339700
2025-02-12,595.00,610.00,590.00,610.00,592.25,21125200
2025-02-13,605.00,615.00,600.00,610.00,592.25,16766300
2025-02-14,605.00,625.00,605.00,615.00,597.11,15679900
2025-02-17,610.00,630.00,610.00,630.00,611.67,14222400
2025-02-18,625.00,630.00,610.00,625.00,606.82,26983200
2025-02-19,625.00,625.00,600.00,600.00,582.54,35321700
2025-02-20,605.00,610.00,600.00,610.00,592.25,11961500
2025-02-21,610.00,610.00,590.00,595.00,577.69,21462300
2025-02-24,600.00,600.00,570.00,580.00,563.13,39951000
2025-02-25,580.00,580.00,565.00,570.00,553.42,14195400
2025-02-26,570.00,575.00,560.00,570.00,553.42,17220400
2025-02-27,570.00,570.00,550.00,555.00,538.85,20352600
2025-02-28,555.00,555.00,520.00,520.00,504.87,34037100
2025-03-03,525.00,555.00,525.00,555.00,538.85,22580100
2025-03-04,550.00,550.00,530.00,535.00,519.44,18106800
2025-03-05,535.00,550.00,535.00,545.00,529.14,15913200
2025-03-06,545.00,555.00,535.00,535.00,519.44,27019800
2025-03-07,535.00,545.00,530.00,535.00,519.44,19905000
2025-03-10,540.00,540.00,520.00,525.00,509.73,26588300
2025-03-11,520.00,520.00,505.00,510.00,495.16,22623100
2025-03-12,510.00,520.00,505.00,510.00,495.16,14527300
2025-03-13,510.00,520.00,505.00,515.00,500.02,8515100
2025-03-14,515.00,525.00,505.00,505.00,490.31,20115100
2025-03-17,505.00,520.00,505.00,520.00,504.87,11478200
2025-03-18,520.00,520.00,496.00,515.00,500.02,30919100
2025-03-19,510.00,540.00,510.00,520.00,504.87,18248600
2025-03-20,530.00,530.00,515.00,520.00,504.87,10863100
2025-03-21,520.00,525.00,505.00,525.00,509.73,41944000
2025-03-24,520.00,525.00,500.00,505.00,490.31,19336300
2025-03-25,510.00,515.00,505.00,505.00,490.31,6766100
2025-03-26,510.00,535.00,510.00,525.00,509.73,20108100
2025-03-27,520.00,530.00,505.00,505.00,490.31,23405500
2025-04-08,476.00,476.00,442.00,460.00,446.62,45418600
2025-04-09,458.00,478.00,456.00,468.00,454.38,21717500
2025-04-10,482.00,520.00,482.00,515.00,500.02,33929200
2025-04-11,515.00,515.00,500.00,510.00,495.16,8000100
2025-04-14,510.00,530.00,505.00,525.00,509.73,16640400
2025-04-15,525.00,545.00,520.00,525.00,509.73,36200200
2025-04-16,525.00,535.00,515.00,515.00,500.02,11847900
2025-04-17,520.00,545.00,520.00,535.00,519.44,21081200
2025-04-21,540.00,550.00,530.00,535.00,519.44,16354000
2025-04-22,540.00,545.00,530.00,540.00,524.29,10944300
2025-04-23,540.00,560.00,540.00,550.00,534.00,23731700
2025-04-24,555.00,555.00,540.00,545.00,529.14,14932300
2025-04-25,550.00,560.00,545.00,555.00,538.85,8861600
2025-04-28,560.00,575.00,560.00,565.00,548.56,14286800
2025-04-29,570.00,600.00,570.00,590.00,572.84,33430300
2025-04-30,595.00,595.00,570.00,570.00,553.42,48310900
2025-05-02,570.00,585.00,550.00,585.00,567.98,23932100
2025-05-05,580.00,585.00,570.00,580.00,572.82,12443600
2025-05-06,580.00,590.00,575.00,575.00,567.88,14500100
2025-05-07,580.00,630.00,575.00,590.00,582.70,58644900
2025-05-08,595.00,620.00,595.00,600.00,592.57,43256300
2025-05-09,600.00,615.00,595.00,600.00,592.57,11950900
2025-05-14,605.00,625.00,605.00,625.00,617.26,35719600
2025-05-15,625.00,625.00,605.00,615.00,607.39,19304300
2025-05-16,610.00,625.00,600.00,615.00,607.39,27976100
2025-05-19,615.00,620.00,600.00,600.00,592.57,24945000
2025-05-20,600.00,610.00,590.00,610.00,602.45,26563800
2025-05-21,610.00,615.00,600.00,615.00,607.39,16723500
