Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,1900.00,1900.00,1820.00,1835.00,1720.84,6628000
2025-01-03,1835.00,1840.00,1775.00,1775.00,1664.57,22048300
2025-01-06,1775.00,1805.00,1745.00,1745.00,1636.44,8325600
2025-01-07,1750.00,1780.00,1750.00,1780.00,1669.26,6024700
2025-01-08,1780.00,1780.00,1725.00,1725.00,1617.69,10493000
2025-01-09,1725.00,1745.00,1690.00,1690.00,1584.86,6587100
2025-01-10,1695.00,1715.00,1685.00,1705.00,1598.93,6937800
2025-01-13,1710.00,1745.00,1705.00,1720.00,1613.00,6631600
2025-01-14,1720.00,1790.00,1720.00,1745.00,1636.44,13966800
2025-01-15,1745.00,1765.00,1735.00,1735.00,1627.06,7251900
2025-01-16,1750.00,1790.00,1745.00,1785.00,1673.95,12071200
2025-01-17,1785.00,1790.00,1765.00,1790.00,1678.64,3435700
2025-01-20,1790.00,1790.00,1750.00,1750.00,1641.13,5138200
2025-01-21,1760.00,1770.00,1730.00,1730.00,1622.37,6381600
2025-01-22,1730.00,1750.00,1695.00,1695.00,1589.55,11612400
2025-01-23,1700.00,1740.00,1700.00,1740.00,1631.75,12035700
2025-01-24,1745.00,1745.00,1690.00,1690.00,1584.86,7185100
2025-01-30,1690.00,1690.00,1645.00,1650.00,1547.35,8535800
2025-01-31,1650.00,1660.00,1630.00,1630.00,1528.60,12703300
2025-02-03,1635.00,1640.00,1580.00,1580.00,1481.71,12109000
2025-02-04,1580.00,1620.00,1560.00,1565.00,1467.64,9816400
2025-02-05,1565.00,1575.00,1550.00,1565.00,1467.64,7078900
2025-02-06,1565.00,1565.00,1500.00,1510.00,1416.06,11260100
2025-02-07,1510.00,1510.00,1425.00,1425.00,1336.35,23092400
2025-02-10,1425.00,1545.00,1425.00,1505.00,1411.37,22972400
2025-02-11,1525.00,1530.00,1425.00,1425.00,1336.35,12501100
2025-02-12,1425.00,1445.00,1370.00,1375.00,1289.46,47552000
2025-02-13,1370.00,1420.00,1290.00,1415.00,1326.97,74244500
2025-02-14,1420.00,1500.00,1420.00,1465.00,1373.86,30530500
2025-02-17,1475.00,1500.00,1425.00,1440.00,1350.42,30852000
2025-02-18,1440.00,1460.00,1420.00,1450.00,1359.79,24087300
2025-02-19,1450.00,1450.00,1375.00,1375.00,1289.46,36371600
2025-02-20,1380.00,1405.00,1330.00,1350.00,1266.01,29020400
2025-02-21,1345.00,1355.00,1290.00,1290.00,1209.75,37424600
2025-02-24,1295.00,1305.00,1255.00,1265.00,1186.30,33750800
2025-02-25,1240.00,1255.00,1150.00,1150.00,1078.46,116532600
2025-02-26,1160.00,1225.00,1155.00,1200.00,1125.35,123211400
2025-02-27,1215.00,1265.00,1185.00,1200.00,1125.35,64065200
2025-02-28,1200.00,1210.00,1015.00,1015.00,951.86,785826000
2025-03-03,985.00,1215.00,985.00,1125.00,1055.01,505933700
2025-03-04,1125.00,1160.00,1075.00,1090.00,1022.19,169188900
2025-03-05,1095.00,1185.00,1095.00,1120.00,1050.32,152284100
2025-03-06,1130.00,1165.00,1110.00,1140.00,1069.08,75420000
2025-03-07,1150.00,1240.00,1150.00,1200.00,1125.35,116830700
2025-03-10,1205.00,1230.00,1175.00,1180.00,1106.59,73948200
2025-03-11,1170.00,1200.00,1145.00,1190.00,1115.97,35888100
2025-03-12,1200.00,1210.00,1150.00,1150.00,1078.46,59364000
2025-03-13,1160.00,1280.00,1155.00,1260.00,1181.61,123437300
2025-03-14,1270.00,1335.00,1260.00,1300.00,1219.13,148060700
2025-03-17,1310.00,1375.00,1305.00,1365.00,1280.08,98617100
2025-03-18,1365.00,1380.00,1300.00,1360.00,1275.39,112819800
2025-03-19,1360.00,1420.00,1335.00,1360.00,1275.39,84280900
2025-03-20,1365.00,1370.00,1295.00,1305.00,1223.81,72533700
2025-03-21,1305.00,1330.00,1255.00,1295.00,1214.44,76199400
2025-03-24,1275.00,1290.00,1225.00,1250.00,1172.24,34134300
2025-03-25,1255.00,1275.00,1220.00,1245.00,1167.55,26275100
2025-03-26,1240.00,1275.00,1235.00,1240.00,1162.86,24278400
2025-03-27,1240.00,1285.00,1225.00,1265.00,1186.30,24029300
2025-04-08,1150.00,1180.00,1125.00,1180.00,1106.59,43015400
2025-04-09,1165.00,1220.00,1135.00,1155.00,1083.15,37069200
2025-04-10,1210.00,1285.00,1195.00,1285.00,1205.06,43797500
2025-04-11,1275.00,1340.00,1255.00,1310.00,1228.50,27972400
2025-04-14,1310.00,1420.00,1310.00,1360.00,1275.39,49982800
2025-04-15,1375.00,1380.00,1325.00,1330.00,1247.26,30552000
2025-04-16,1335.00,1355.00,1300.00,1320.00,1237.88,21173800
2025-04-17,1335.00,1345.00,1305.00,1320.00,1237.88,18038000
2025-04-21,1320.00,1415.00,1310.00,1345.00,1261.33,43443800
2025-04-22,1350.00,1400.00,1335.00,1385.00,1298.84,31082500
2025-04-23,1410.00,1450.00,1390.00,1425.00,1336.35,57026800
